statement,complexity_cc,complexity_ex,complexity_nested,complexity_correlation,complexity_polarity,total_complexity,complexity_density,statement_length,fre,fkg,cli,ari,dcrs
"Nearly 50% of coastal wetlands have been lost over the last 100 years, as a result of the combined effects of localised human pressures, sea level rise, warming and extreme climate events.",5,0,0.0,0,0,5.0,0.16666666666666666,37,50.098750000000024,14.221250000000001,10.825,17.6784375,12.6252625
"Global surface temperature was around 1.1°C above 1850–1900 in 2011–2020 (1.09°C [0.95°C– 1.20°C]), with larger increases over land (1.59 [1.34 to 1.83]°C) than over the ocean (0.88°C [0.68°C– 1.01°C]). Observed warming is human-caused, with warming from greenhouse gases (GHG), dominated by CO2 and methane (CH4), partly masked by aerosol cooling (Figure 2.1). Global surface temperature in the first two decades of the 21st century (2001-2020) was 0.99 [0.84 to 1.10]°C higher than 1850-1900. Global surface temperature has increased faster since 1970 than in any other 50-year period over at least the last 2000 years",0,8,1.0,2,0,11.0,0.13580246913580246,149,70.39400000000002,5.776000000000003,9.865957446808512,9.676063829787235,12.669654893617023
"In 2019, atmospheric CO2 concentrations reached 410 parts per million (ppm), CH4 reached 1866 parts per billion (ppb) and nitrous oxide (N2O) reached 332 ppb. Other major contributors to warming are tropospheric ozone (O3) and halogenated gases. Concentrations of CH4 and N2O have increased to levels unprecedented in at least 800,000 years (very high confidence), and there is high confidence that current CO2 concentrations are higher than at any time over at least the past two million years.",0,0,0.0,0,0,0.0,0.0,94,42.698846153846176,13.762820512820515,12.879487179487182,16.810769230769232,13.833279487179487
"Since 1750, increases in CO2 (47%) and CH4 (156%) concentrations far exceed – and increases in N2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years.",0,0,0.0,0,0,0.0,0.0,51,26.94500000000002,18.444444444444446,13.183333333333334,21.359473684210528,14.194322222222224
"Historical cumulative net CO2 emissions from 1850 to 2019 were 2400 ±240 GtCO2. Of these, more than half (58%) occurred between 1850 and 1989 [1400 ±195 GtCO2], and about 42% between 1990 and 2019 [1000 ±90 GtCO2]. Global net anthropogenic GHG emissions have been estimated to be 59±6.6 GtCO2-eq in 2019, about 12% (6.5 GtCO2-eq) higher than in 2010 and 54% (21 GtCO2-eq) higher than in 1990. By 2019, the largest growth in gross emissions occurred in CO2 from fossil fuels and industry (CO2-FFI) followed by CH4, whereas the highest relative growth occurred in fluorinated gases (F-gases), starting from low levels in 1990.",0,0,9.545177444479563,0,0,9.545177444479563,0.12898888438485895,141,60.45743527508094,9.091407766990294,9.673786407766993,11.023430420711975,14.299228802588997
"Sea level rise is unavoidable for centuries to millennia due to continuing deep ocean warming and ice sheet melt, and sea levels will remain elevated for thousands of years.",0,0,0.0,0,0,0.0,0.0,31,31.537931034482796,16.0648275862069,11.779310344827586,16.619999999999997,9.975244827586206
"Global mean sea level rise will continue in the 21st century (virtually certain), with projected regional relative sea level rise within 20% of the global mean along two-thirds of the global coastline.",0,0,0.0,0,0,0.0,0.0,39,28.948750000000018,17.171250000000004,13.0,19.591875,12.131825000000001
"Due to relative sea level rise, extreme sea level events that occurred once per century in the recent past are projected to occur at least annually at more than half of all tide gauge locations by 2100 and risks for coastal ecosystems, people and infrastructure will continue to increase beyond 2100.",0,0,0.0,0,0,0.0,0.0,54,20.7052941176471,23.041176470588237,11.709803921568625,27.158235294117652,12.977472549019609
The probability and rate of ice mass loss increase with higher global surface temperatures.,0,0,0.0,0,0,0.0,0.0,15,47.59642857142859,10.098571428571429,13.985714285714288,11.811428571428571,11.098042857142858
"Over the next 2000 years, global mean sea level will rise by about 2– 3 m if warming is limited to 1.5°C and 2–6 m if limited to 2°C.",0,0,0.0,2,0,2.0,0.08,36,81.26232758620691,5.527068965517241,1.7586206896551744,2.873448275862067,11.433975862068966
"Projections of multi-millennial global mean sea level rise are consistent with reconstructed levels during past warm climate periods: global mean sea level was very likely 5–25 m higher than today roughly 3 million years ago, when global temperatures were 2.5°C–4°C higher than 1850–1900.",0,0,0.0,0,0,0.0,0.0,52,37.45436046511631,13.37639534883721,14.655813953488376,16.26558139534884,12.047086046511629
Further examples of unavoidable changes in the climate system due to multi-decadal or longer response timescales include continued glacier melt and permafrost carbon loss.,0,3,0.0,0,0,3.0,0.12,27,27.37500000000003,15.403333333333332,18.249999999999996,19.615000000000002,14.037733333333335
The implementation of packages of multiple city-scale mitigation strategies can have cascading effects across sectors and reduce GHG emissions both within and outside a city’s administrative boundaries.,0,0,0.0,3,0,3.0,0.10714285714285714,31,3.9633333333333667,19.414074074074076,20.26666666666667,22.77222222222222,14.332737037037038
Approaches that align goals and actions across sectors provide opportunities for multiple and large- scale benefits and avoided damages in the near-term. Such measures can also achieve greater benefits through cascading effects across sectors,0,0,0.0,2,5,7.0,0.20588235294117646,37,27.84470588235297,13.598823529411767,17.599999999999998,16.02264705882353,13.767935294117647
"Trade-offs in terms of employment, water use, land-use competition and biodiversity, as well as access to, and the affordability of, energy, food, and water can be avoided by well-implemented land-based mitigation options, especially those that do not threaten existing sustainable land uses and land rights, with frameworks for integrated policy implementation.",0,4,0.0,40,40,84.0,1.5272727272727273,69,-12.471176470588205,27.6686274509804,17.50980392156863,32.88411764705882,13.596688235294119
"Integrated design approaches to the construction and retrofit of buildings provide increasing examples of zero energy or zero carbon buildings in several regions. To minimise maladaptation, multi-sectoral, multi-actor and inclusive planning with flexible pathways encourages low-regret and timely actions that keep options open, ensure benefits in multiple sectors and systems and suggest the available solution space for adapting to long-term climate change.",0,0,0.0,14,0,14.0,0.21212121212121213,75,2.0764516129032415,20.67096774193549,19.63548387096775,24.30516129032258,15.10651935483871
"Similarly, integrated transport and energy infrastructure planning and operations can together reduce the environmental, social, and economic impacts of decarbonising the transport and energy sectors.",12,0,0.0,25,0,37.0,1.48,29,-24.96399999999997,22.952,22.920000000000005,24.2284,14.9821
"For example, the feasibility of using land for both agriculture and centralised solar production can increase when such options are combined.",2,0,0.0,0,0,2.0,0.09523809523809523,23,32.43428571428572,13.952380952380953,15.657142857142865,16.208571428571425,12.19714761904762
"The range of such positive interactions is significant in the landscape of near-term climate policies across regions, sectors and systems. For example, AFOLU mitigation actions in land-use change and forestry, when sustainably implemented, can provide large-scale GHG emission reductions and removals that simultaneously benefit biodiversity, food security, wood supply and other ecosystem services but cannot fully compensate for delayed mitigation action in other sectors. Adaptation measures in land, ocean and ecosystems similarly can have widespread benefits for food security, nutrition, health and well-being, ecosystems and biodiversity. Equally, urban systems are critical, interconnected sites for climate resilient development; urban policies that implement multiple interventions can yield adaptation or mitigation gains with equity and human well-being. Integrated policy packages can improve the ability to integrate considerations of equity, gender equality and justice. Coordinated cross-sectoral policies and planning can maximise synergies and avoid or reduce trade-offs between mitigation and adaptation. Effective action in all of the above areas will require near-term political commitment and follow-through, social cooperation, finance, and more integrated cross-sectoral policies and support and actions.",7,12,0.0,8,6,33.0,0.1783783783783784,219,-6.557068965517203,20.349113300492608,20.375862068965514,22.26322660098522,14.488609688013137
"Soft and hard adaptation limits have already been reached in some sectors and regions, in spite of adaptation having buffered some climate impacts.",0,0,0.0,0,0,0.0,0.0,25,43.716086956521764,12.875652173913043,13.930434782608693,15.667826086956524,11.642517391304349
"Individuals and households in low lying coastal areas in Australasia and Small Islands and smallholder farmers in Central and South America, Africa, Europe and Asia have reached soft limits (medium confidence), resulting from financial, governance, institutional and policy constraints and can be overcome by addressing these constraints (high confidence).",0,0,0.0,17,0,17.0,0.3469387755102041,59,-12.099999999999966,27.12,18.869387755102036,32.675714285714285,14.445267346938776
"Ecosystems already reaching hard adaptation limits include some warm water coral reefs, some coastal wetlands, some rainforests, and some polar and mountain ecosystems.",0,0,0.0,0,0,0.0,0.0,27,17.968260869565228,16.46695652173913,18.721739130434788,19.96826086956522,13.015560869565219
Transitioning from incremental to transformational adaptation can help overcome soft adaptation limits.,0,0,0.0,1,0,1.0,0.08333333333333333,13,-23.89500000000001,19.57333333333334,25.716666666666665,20.68,13.442533333333335
Changes in short-lived climate forcers (SLCF) resulting from the five considered scenarios lead to an additional net global warming in the near and long term.,6,0,0.0,0,0,6.0,0.23076923076923078,30,46.10000000000002,13.040000000000003,13.175999999999998,16.315599999999996,11.8241
Simultaneous stringent climate change mitigation and air pollution control policies limit this additional warming and lead to strong benefits for air quality.,3,0,0.0,6,0,9.0,0.4090909090909091,23,11.459545454545463,17.12636363636364,18.709090909090907,18.900454545454544,13.340427272727274
"Altogether, this causes a likely net warming of 0.0°C–0.3°C due to SLCF changes in 2100 relative to 2019 and strong reductions in global surface ozone and particulate matter.",0,0,0.0,3,0,3.0,0.11538461538461539,34,53.639285714285734,9.255714285714287,11.085714285714285,10.2975,11.66197142857143
"Without rapid, deep and sustained mitigation and accelerated adaptation actions, losses and damages will continue to increase, including projected adverse impacts in Africa, LDCs, SIDS, Central and South America, Asia and the Arctic, and will disproportionately affect the most vulnerable populations.",0,3,0.0,12,0,15.0,0.36585365853658536,50,-16.360487804878034,25.726829268292686,19.126829268292685,29.05317073170732,14.913026829268293
Net GHG emissions have increased since 2010 across all major sectors.,0,0,0.0,0,0,0.0,0.0,12,64.9245454545455,6.936363636363637,12.09090909090909,9.332727272727272,11.359372727272728
"In 2019, approximately 34% (20 GtCO2-eq) of net global GHG emissions came from the energy sector, 24% (14 GtCO2- eq) from industry, 22% (13 GtCO2-eq) from AFOLU, 15% (8.7 GtCO2-eq) from transport and 6% (3.3 GtCO2- eq) from buildings.",0,4,0.0,0,0,4.0,0.15384615384615385,65,67.8246153846154,7.028717948717951,7.056410256410256,8.740769230769232,15.617710256410257
Average annual GHG emissions growth between 2010 and 2019 slowed compared to the previous decade in energy supply (from 2.3% to 1.0%) and industry (from 3.4% to 1.4%) but remained roughly constant at about 2% yr–1in the transport sector.,0,0,0.0,0,0,0.0,0.0,50,66.5949230769231,5.90841025641026,7.76923076923077,6.503076923076922,14.145174871794872
"About half of total net AFOLU emissions are from CO2 LULUCF, predominantly from deforestation.",0,2,19.090354888959126,0,0,21.090354888959126,1.6223349914583944,16,29.467857142857156,12.62714285714286,14.81428571428572,12.820714285714281,12.225900000000001
Land overall constituted a net sink of –6.6 (±4.6) GtCO2 yr–1for the period 2010–2019.,0,0,0.0,0,0,0.0,0.0,18,60.74428571428575,6.525714285714287,6.485714285714284,6.6292857142857144,13.006557142857146
"Human-caused climate change is a consequence of more than a century of net GHG emissions from energy use, land-use and land use change, lifestyle and patterns of consumption, and production. Emissions reductions in CO2 from fossil fuels and industrial processes (CO2-FFI), due to improvements in energy intensity of GDP and carbon intensity of energy, have been less than emissions increases from rising global activity levels in industry, energy supply, transport, agriculture and buildings. The 10% of households with the highest per capita emissions contribute 34–45% of global consumption-based household GHG emissions, while the middle 40% contribute 40–53%, and the bottom 50% contribute 13–15%. An increasing share of emissions can be attributed to urban areas (a rise from about 62% to 67–72% of the global share between 2015 and 2020). The drivers of urban GHG emissions are complex and include population size, income, state of urbanisation and urban form.",0,7,20.931471805599454,0,0,27.931471805599454,0.19951051289713895,185,28.169378378378383,16.68372972972973,13.84594594594595,19.43412162162162,13.213038378378378
"It is unequivocal that human influence has warmed the atmosphere, ocean and land. Widespread and rapid changes in the atmosphere, ocean, cryosphere and biosphere have occurred (Table 2.1). The scale of recent changes across the climate system as a whole and the present state of many aspects of the climate system are unprecedented over many centuries to many thousands of years. It is very likely that GHG emissions were the main driver of tropospheric warming and extremely likely that human-caused stratospheric ozone depletion was the main driver of stratospheric cooling between 1979 and the mid-1990s. It is virtually certain that the global upper ocean (0-700m) has warmed since the 1970s and extremely likely that human influence is the main driver. Ocean warming accounted for 91% of the heating in the climate system, with land warming, ice loss and atmospheric warming accounting for about 5%, 3% and 1%, respectively.",5,2,1.0,0,0,8.0,0.05673758865248227,174,41.17941441441445,13.643513513513515,12.66621621621622,15.789954954954958,11.581385585585586
"Global mean sea level increased by 0.20 [0.15–0.25] m between 1901 and 2018. The average rate of sea level rise was 1.3 [0.6 to 2.1]mm yr-1 between 1901 and 1971, increasing to 1.9 [0.8 to 2.9] mm yr-1 between 1971 and 2006, and further increasing to 3.7 [3.2 to –4.2] mm yr-1 between 2006 and 2018.",0,0,0.0,0,0,0.0,0.0,68,93.25873015873017,1.7973809523809514,1.710714285714289,2.203253968253968,12.404050793650795
"Across sectors and regions, the most vulnerable people and systems have been disproportionately affected by the impacts of climate change.",0,0,0.0,0,0,0.0,0.0,22,30.025000000000034,14.040000000000003,16.650000000000002,16.594500000000004,10.944500000000001
"LDCs and SIDS who have much lower per capita emissions (1.7 tCO2-eq, 4.6 tCO2-eq, respectively) than the global average (6.9 tCO2-eq) excluding CO2-LULUCF, also have high vulnerability to climatic hazards, with global hotspots of high human vulnerability observed in West-, Central- and East Africa, South Asia, Central and South America, SIDS and the Arctic.",0,0,9.545177444479563,0,0,9.545177444479563,0.1947995396832564,75,44.29916666666671,10.43425925925926,12.511111111111113,12.009999999999998,13.370729629629631
"Vulnerability is higher in locations with poverty, governance challenges and limited access to basic services and resources, violent conflict and high levels of climate-sensitive livelihoods (e.g., smallholder farmers, pastoralists, fishing communities)",0,4,0.0,2,0,6.0,0.1935483870967742,40,-5.38782258064515,17.861451612903227,22.141935483870977,20.201612903225808,15.611106451612905
Regions and people with considerable development constraints have high vulnerability to climatic hazards.,0,0,0.0,0,0,0.0,0.0,14,-8.098461538461521,17.618461538461542,22.969230769230766,18.76461538461539,12.783607692307694
"Vulnerability at different spatial levels is exacerbated by inequity and marginalisation linked to gender, ethnicity, low income or combinations thereof (high confidence), especially for many Indigenous Peoples and local communities (high confidence).",0,0,0.0,0,0,0.0,0.0,40,-23.926249999999982,24.546250000000004,21.700000000000006,26.95125,14.105575
"Vulnerability of ecosystems and people to climate change differs substantially among and within regions (very high confidence), driven by patterns of intersecting socio-economic development, unsustainable ocean and land use, inequity, marginalisation, historical and ongoing patterns of inequity such as colonialism, and governance (high confidence)",0,5,0.0,0,0,5.0,0.1111111111111111,56,-43.55681818181813,30.26545454545455,22.41363636363636,33.325909090909086,13.7139
"In the Arctic and in some high mountain regions, negative impacts of cryosphere change have been especially felt among Indigenous Peoples.",0,0,0.0,0,0,0.0,0.0,23,48.54857142857145,11.704761904761906,14.82857142857143,15.535714285714285,10.693338095238095
Human and ecosystem vulnerability are interdependent.,0,0,0.0,0,0,0.0,0.0,7,-67.15499999999997,24.116666666666664,24.7,19.25,14.460766666666668
"With further global warming, every region is projected to increasingly experience concurrent and multiple changes in climatic impact-drivers. Increases in hot and decreases in cold climatic impact-drivers, such as temperature extremes, are projected in all regions.",0,4,0.0,3,0,7.0,0.18421052631578946,45,17.015000000000015,15.357777777777777,18.48333333333333,17.66166666666667,12.862911111111112
"At 1.5°C global warming, heavy precipitation and flooding events are projected to intensify and become more frequent in most regions in Africa, Asia (high confidence), North America (medium to high confidence) and Europe (medium confidence).",0,0,0.0,0,0,0.0,0.0,47,4.527142857142849,21.32285714285715,15.668571428571429,23.92628571428572,13.49307142857143
"At 2°C or above, these changes expand to more regions and/or become more significant (high confidence), and more frequent and/or severe agricultural and ecological droughts are projected in Europe, Africa, Australasia and North, Central and South America.",0,0,0.0,0,0,0.0,0.0,47,6.939459459459471,21.48324324324324,16.005405405405405,24.94810810810811,13.153321621621622
"Compound heatwaves and droughts become likely more frequent, including concurrently at multiple locations.",0,0,0.0,0,0,0.0,0.0,15,17.932307692307717,13.98769230769231,22.969230769230766,19.126923076923077,13.998223076923077
"Other projected regional changes include intensification of tropical cyclones and/or extra tropical storms (medium confidence), and increases in aridity and fire weather (medium to high confidence).",0,0,0.0,0,0,0.0,0.0,32,-11.53192307692305,21.326923076923084,20.09230769230769,22.909615384615385,14.643023076923077
The largest climate finance gaps and opportunities are in developing countries.,0,0,0.0,0,0,0.0,0.0,12,26.470000000000027,12.3,17.363636363636363,13.614545454545457,14.230281818181819
"Accelerated support from developed countries and multilateral institutions is a critical enabler to enhance mitigation and adaptation action and can address inequities in finance, including its costs, terms and conditions, and economic vulnerability to climate change. Scaled-up public grants for mitigation and adaptation funding for vulnerable regions, e.g., in Sub-Saharan Africa, would be cost-effective and have high social returns in terms of access to basic energy. Options for scaling up mitigation and adaptation in developing regions include: increased levels of public finance and publicly mobilised private finance flows from developed to developing countries in the context of the USD 100 billion-a-year goal of the Paris Agreement; increase the use of public guarantees to reduce risks and leverage private flows at lower cost; local capital markets development; and building greater trust in international cooperation processes. A coordinated effort to make the post-pandemic recovery sustainable over the long term through increased flows of financing over this decade can accelerate climate action, including in developing regions facing high debt costs, debt distress and macroeconomic uncertainty.",0,16,0.0,17,0,33.0,0.1875,200,1.735279069767472,21.56320930232558,17.768604651162793,24.385988372093017,14.339367906976744
"Human-caused climate change is already affecting many weather and climate extremes in every region across the globe. This has led to widespread adverse impacts on food and water security, human health and on economies and society and related losses and damages to nature and people.",0,0,1.0,70,0,71.0,1.5434782608695652,50,31.7175,14.425,13.044444444444444,14.730666666666664,11.0685
"Although overall agricultural productivity has increased, climate change has slowed this growth in agricultural productivity over the past 50 years globally (medium confidence), with related negative crop yield impacts mainly recorded in mid- and low latitude regions, and some positive impacts in some high latitude regions (high confidence).",0,0,0.0,2,0,2.0,0.043478260869565216,56,-9.322499999999991,26.48416666666667,18.262500000000006,31.615000000000002,15.557091666666667
"Unsustainable agricultural expansion, driven in part by unbalanced diets, increases ecosystem and human vulnerability and leads to competition for land and/or water resources (high confidence).",0,0,0.0,0,0,0.0,0.0,30,-18.19599999999997,22.008,20.832000000000004,22.909599999999998,13.718900000000001
"Impacts on some ecosystems are approaching irreversibility such as the impacts of hydrological changes resulting from the retreat of glaciers, or the changes in some mountain [..] ecosystems driven by permafrost thaw.",0,3,0.0,0,0,3.0,0.0967741935483871,36,32.818629032258116,12.532419354838712,15.967741935483872,13.696874999999999,11.536267741935484
"Observed increases in well-mixed GHG concentrations since around 1750 are unequivocally caused by GHG emissions from human activities. Land and ocean sinks have taken up a near-constant proportion (globally about 56% per year) of CO2 emissions from human activities over the past six decades, with regional differences.",0,0,0.0,0,0,0.0,0.0,57,28.182500000000033,15.16648936170213,15.642553191489366,17.67808510638298,13.201036170212765
The net cooling effect which arises from anthropogenic aerosols peaked in the late 20th century.,0,0,1.0,0,0,1.0,0.07142857142857142,16,39.33000000000001,11.500000000000004,13.546666666666667,11.818000000000005,12.801833333333335
"Mitigation and adaptation when implemented together, and combined with broader sustainable development objectives, would yield multiple benefits for human well-being as well as ecosystem and planetary health.",4,0,0.0,0,0,4.0,0.14285714285714285,32,-11.70333333333329,21.59925925925926,21.340740740740745,23.818888888888885,13.747922222222224
"In high and very high GHG emissions scenarios (SSP3-7.0 and SSP5-8.5), combined changes in SLCF emissions, such as CH4, aerosol and ozone precursors, lead to a net global warming by 2100 of likely 0.4°C–0.9°C relative to 2019. This is due to projected increases in atmospheric concentration of CH4, tropospheric ozone, hydrofluorocarbons and, when strong air pollution control is considered, reductions of cooling aerosols. In low and very low GHG emissions scenarios (SSP1- 1.9 and SSP1-2.6), air pollution control policies, reductions in CH4 and other ozone precursors lead to a net cooling, whereas reductions in anthropogenic cooling aerosols lead to a net warming.",5,0,1.0,9,0,15.0,0.16304347826086957,130,44.5996323529412,10.206029411764707,12.413725490196082,11.173235294117646,12.473507843137256
"Regional contributions to global human-caused GHG emissions continue to differ widely. Historical contributions of CO2 emissions vary substantially across regions in terms of total magnitude, but also in terms of contributions to CO2-FFI (1650 ± 73 GtCO2-eq) and net CO2-LULUCF (760 ± 220 GtCO2-eq) emissions (Figure 2.2). Variations in regional and national per capita emissions partly reflect different development stages, but they also vary widely at similar income levels. Average per capita net anthropogenic GHG emissions in 2019 ranged from 2.6 tCO2-eq to 19 tCO2-eq across regions (Figure 2.2). Least developed countries (LDCs) and Small Island Developing States (SIDS) have much lower per capita emissions (1.7 tCO2- eq and 4.6 tCO2-eq, respectively) than the global average (6.9 tCO2-eq), excluding CO2-LULUCF. Around 48% of the global population in 2019 lives in countries emitting on average more than 6 tCO2-eq per capita, 35% of the global population live in countries emitting more than 9 tCO2-eq per capita13(excluding CO2- LULUCF) while another 41% live in countries emitting less than 3 tCO2-eq per capita. A substantial share of the population in these low-emitting countries lack access to modern energy services.",0,0,11.68213122712422,0,0,11.68213122712422,0.07166951673082343,246,37.66877470355732,12.160810276679843,13.668478260869566,13.4717008797654,14.506553162055338
"Between 2010 and 2020, human mortality from floods, droughts and storms was 15 times higher in highly vulnerable regions, compared to regions with very low vulnerability.",0,0,3.0,0,0,3.0,0.13043478260869565,30,34.021923076923116,14.973076923076924,14.515384615384622,17.83730769230769,14.643023076923077
"Human activities, principally through emissions of greenhouse gases, have unequivocally caused global warming, with global surface temperature reaching 1.1°C above 1850–1900 in 2011–2020. Global greenhouse gas emissions have continued to increase over 2010–2019, with unequal historical and ongoing contributions arising from unsustainable energy use, land use and land-use change, lifestyles and patterns of consumption and productionacross regions, between and within countries, and between individuals.",0,11,0.0,0,0,11.0,0.1774193548387097,78,14.659791666666678,16.514375000000005,21.41875,21.765104166666667,14.069945833333334
Vulnerable communities who have historically contributed the least to current climate change are disproportionately affected.,0,0,0.0,0,0,0.0,0.0,16,-17.069999999999993,19.36666666666667,24.759999999999994,20.924,12.801833333333335
